time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-01T23:46:51.621Z,41.4659,-71.2851,5,1.8,ml,,181,0.489,0.31,us,us70006f5x,2020-02-19T18:58:30.040Z,"3 km SE of Newport, Rhode Island",earthquake,1.6,1.8,0.115,10,reviewed,us,us
2019-11-24T07:52:16.973Z,42.7766,-71.2345,3.63,1.2,ml,,169,0.36,0.42,us,us70006ckx,2020-02-14T22:02:19.040Z,"3 km WSW of Salem, New Hampshire",earthquake,1.6,5,0.128,8,reviewed,us,us
2019-11-24T02:45:15.174Z,42.7892,-71.2257,1.66,1.8,ml,,132,0.374,0.35,us,us70006ccp,2020-02-14T22:02:16.040Z,"2 km W of Salem, New Hampshire",earthquake,0.9,5.1,0.081,20,reviewed,us,us
2019-10-26T03:42:26.367Z,42.621,-70.7246,4.55,1.3,ml,,183,0.5,0.23,us,us700061hm,2020-01-11T21:26:41.040Z,"4 km ESE of Essex, Massachusetts",earthquake,1.8,6.5,0.115,10,reviewed,us,us
2019-08-21T05:31:01.315Z,41.7371,-70.6587,6.24,1.7,ml,,176,0.175,0.25,us,us700056rn,2019-11-08T22:13:38.040Z,"0 km S of Onset, Massachusetts",earthquake,2.6,4.9,0.105,12,reviewed,us,us
2019-07-27T11:50:12.303Z,41.4947,-72.6444,7.03,1.9,ml,,127,0.433,0.28,us,us60004wgw,2020-06-28T18:15:09.313Z,"3 km ENE of Durham, Connecticut",earthquake,1.8,5.5,0.094,15,reviewed,us,us
2019-07-01T08:40:50.895Z,42.4707,-70.3956,5,1.5,ml,,217,0.627,0.25,us,us70004gm2,2019-09-14T16:08:36.040Z,"27 km SE of Gloucester, Massachusetts",earthquake,2.1,1.9,0.128,8,reviewed,us,us
2019-04-27T02:17:41.851Z,42.8106,-70.3564,7.87,2.1,ml,,165,0.766,0.64,us,us70003dbe,2019-07-13T18:42:48.040Z,"27 km NE of Rockport, Massachusetts",earthquake,2.3,8,0.105,12,reviewed,us,us
2019-04-22T22:08:57.395Z,42.4627,-70.5552,5,1.7,ml,,203,0.473,0.23,us,us70003aij,2019-06-26T20:55:16.040Z,"19 km SSE of Gloucester, Massachusetts",earthquake,1.2,2,0.115,10,reviewed,us,us
2019-02-18T23:26:33.290Z,42.4758,-71.4926,5,1.1,ml,,121,0.057,0.53,us,us2000jka8,2019-05-01T22:01:04.040Z,"3 km ESE of Boxborough, Massachusetts",earthquake,1.2,1.6,0.128,8,reviewed,us,us
2019-02-08T18:30:49.530Z,42.4299,-70.8253,5,1.4,ml,,175,0.272,0.4,us,us2000jfl1,2019-04-25T15:31:57.040Z,"7 km E of Nahant, Massachusetts",earthquake,2.3,1.9,0.115,10,reviewed,us,us
2019-01-28T23:10:55.060Z,42.5948,-72.0352,5,1.6,ml,,68,0.163,0.46,us,us2000j9wv,2019-04-12T17:16:13.040Z,"3 km ESE of Baldwinville, Massachusetts",earthquake,1.1,1.8,0.091,16,reviewed,us,us
2019-01-26T23:31:44.590Z,42.4647,-71.5265,1.52,0.9,ml,,93,0.047,0.7,us,us2000j9er,2019-04-12T17:15:43.040Z,"2 km S of Boxborough, Massachusetts",earthquake,1.4,3.6,0.115,10,reviewed,us,us
2018-12-23T03:19:24.860Z,42.5705,-72.034,5,2.2,ml,,65,0.175,0.37,us,us2000iwih,2019-04-14T11:41:11.578Z,"2 km W of Gardner, Massachusetts",earthquake,1.3,1.8,0.081,20,reviewed,us,us
2018-12-21T23:08:38.750Z,42.5823,-72.0338,5,1.4,ml,,128,0.169,0.17,us,us2000iw7z,2019-02-23T20:22:24.040Z,"3 km WNW of Gardner, Massachusetts",earthquake,1.3,1.9,0.105,12,reviewed,us,us
